hour,date,fact_value,predict_value
0,01.11.2010,26973.208333333332,0.0
0,02.11.2010,27044.791666666668,0.0
0,03.11.2010,26751.875,0.0
0,04.11.2010,24924.458333333332,0.0
0,05.11.2010,24927.166666666668,0.0
0,06.11.2010,24975.583333333332,0.0
0,07.11.2010,24919.25,0.0
0,08.11.2010,27465.25,0.0
0,09.11.2010,27099.125,0.0
0,10.11.2010,26676.25,0.0
0,11.11.2010,26446.958333333332,0.0
0,12.11.2010,26576.083333333332,0.0
0,13.11.2010,26348.625,0.0
0,14.11.2010,24731.0,0.0
0,15.11.2010,26628.5,0.0
0,16.11.2010,26664.916666666668,0.0
0,17.11.2010,27064.416666666668,0.0
0,18.11.2010,27651.958333333332,0.0
0,19.11.2010,27832.625,0.0
0,20.11.2010,26200.916666666668,0.0
0,21.11.2010,25844.375,0.0
0,22.11.2010,28162.791666666668,0.0
0,23.11.2010,28534.708333333332,0.0
0,24.11.2010,28602.75,0.0
0,25.11.2010,28217.541666666668,0.0
0,26.11.2010,28253.291666666668,0.0
0,27.11.2010,26827.708333333332,0.0
0,28.11.2010,26760.166666666668,0.0
0,29.11.2010,30106.416666666668,0.0
0,30.11.2010,31153.0,0.0
0,01.12.2010,32015.125,0.0
0,02.12.2010,32580.291666666668,0.0
0,03.12.2010,32249.166666666668,0.0
0,04.12.2010,29508.625,0.0
0,05.12.2010,28523.25,0.0
0,06.12.2010,30911.666666666668,0.0
0,07.12.2010,30737.5,0.0
0,08.12.2010,30284.166666666668,0.0
0,09.12.2010,30308.791666666668,0.0
0,10.12.2010,29877.708333333332,0.0
0,11.12.2010,28370.625,0.0
0,12.12.2010,28337.833333333332,0.0
0,13.12.2010,30323.083333333332,0.0
0,14.12.2010,30414.541666666668,0.0
0,15.12.2010,30820.416666666668,0.0
0,16.12.2010,31173.166666666668,0.0
0,17.12.2010,31191.25,0.0
0,18.12.2010,29741.0,0.0
0,19.12.2010,28734.625,0.0
0,20.12.2010,30847.916666666668,0.0
0,21.12.2010,30815.291666666668,0.0
0,22.12.2010,30654.041666666668,0.0
0,23.12.2010,30529.291666666668,0.0
0,24.12.2010,30687.125,0.0
0,25.12.2010,28821.708333333332,0.0
0,26.12.2010,27037.0,0.0
0,27.12.2010,29225.416666666668,0.0
0,28.12.2010,29549.5,0.0
0,29.12.2010,29729.333333333332,0.0
0,30.12.2010,29024.916666666668,0.0
0,31.12.2010,27662.416666666668,0.0
0,01.01.2011,25026.958333333332,0.0
0,02.01.2011,25079.75,0.0
0,03.01.2011,25790.875,0.0
0,04.01.2011,26957.041666666668,0.0
0,05.01.2011,27310.5,0.0
0,06.01.2011,27317.25,0.0
0,07.01.2011,26643.0,0.0
0,08.01.2011,27017.666666666668,0.0
0,09.01.2011,26617.5,0.0
0,10.01.2011,27217.958333333332,0.0
0,11.01.2011,28665.875,0.0
0,12.01.2011,29153.125,0.0
0,13.01.2011,29405.208333333332,0.0
0,14.01.2011,29062.916666666668,0.0
0,15.01.2011,27436.625,0.0
0,16.01.2011,27477.583333333332,0.0
0,17.01.2011,30474.0,0.0
0,18.01.2011,30914.625,0.0
0,19.01.2011,31124.875,0.0
0,20.01.2011,31077.666666666668,0.0
0,21.01.2011,30905.791666666668,0.0
0,22.01.2011,28904.708333333332,0.0
0,23.01.2011,28090.5,0.0
0,24.01.2011,30382.583333333332,0.0
0,25.01.2011,30548.0,0.0
0,26.01.2011,30761.458333333332,0.0
0,27.01.2011,30981.416666666668,0.0
0,28.01.2011,30668.416666666668,0.0
0,29.01.2011,28445.125,0.0
0,30.01.2011,27607.083333333332,0.0
0,31.01.2011,29598.208333333332,0.0
0,01.02.2011,30093.25,0.0
0,02.02.2011,29599.25,0.0
0,03.02.2011,29220.208333333332,0.0
0,04.02.2011,29068.5,0.0
0,05.02.2011,27146.791666666668,0.0
0,06.02.2011,26567.916666666668,0.0
0,07.02.2011,29057.208333333332,0.0
0,08.02.2011,29328.666666666668,0.0
0,09.02.2011,29334.458333333332,0.0
0,10.02.2011,29799.541666666668,0.0
0,11.02.2011,30357.333333333332,0.0
