hour,date,fact_value,predict_value
12,31.12.2018,31082.0,0.0
18,31.12.2018,29349.5,0.0
0,01.01.2019,25799.0,0.0
6,01.01.2019,26307.333333333332,0.0
12,01.01.2019,28619.833333333332,0.0
18,01.01.2019,27843.0,0.0
0,02.01.2019,25044.166666666668,0.0
6,02.01.2019,28048.666666666668,0.0
12,02.01.2019,29749.333333333332,0.0
18,02.01.2019,28345.833333333332,0.0
0,03.01.2019,25173.5,0.0
6,03.01.2019,28726.666666666668,0.0
12,03.01.2019,30432.5,0.0
18,03.01.2019,28898.833333333332,0.0
0,04.01.2019,25471.5,0.0
6,04.01.2019,29247.666666666668,0.0
12,04.01.2019,30832.0,0.0
18,04.01.2019,29094.166666666668,0.0
0,05.01.2019,25729.5,0.0
6,05.01.2019,29438.5,0.0
12,05.01.2019,31187.666666666668,0.0
18,05.01.2019,29360.166666666668,0.0
0,06.01.2019,25964.666666666668,0.0
6,06.01.2019,29438.333333333332,0.0
12,06.01.2019,31311.666666666668,0.0
18,06.01.2019,29894.833333333332,0.0
0,07.01.2019,26692.0,0.0
6,07.01.2019,29395.333333333332,0.0
12,07.01.2019,30995.0,0.0
18,07.01.2019,29941.0,0.0
0,08.01.2019,26758.0,0.0
6,08.01.2019,30595.5,0.0
12,08.01.2019,32393.5,0.0
18,08.01.2019,30297.0,0.0
0,09.01.2019,27570.833333333332,0.0
6,09.01.2019,34263.333333333336,0.0
12,09.01.2019,34613.5,0.0
18,09.01.2019,31584.166666666668,0.0
0,10.01.2019,28216.333333333332,0.0
6,10.01.2019,34454.666666666664,0.0
12,10.01.2019,34935.333333333336,0.0
18,10.01.2019,31542.833333333332,0.0
0,11.01.2019,28295.833333333332,0.0
6,11.01.2019,34517.666666666664,0.0
12,11.01.2019,34747.166666666664,0.0
18,11.01.2019,31923.333333333332,0.0
0,12.01.2019,27958.833333333332,0.0
6,12.01.2019,32111.666666666668,0.0
12,12.01.2019,33418.5,0.0
18,12.01.2019,31115.666666666668,0.0
0,13.01.2019,27244.5,0.0
6,13.01.2019,30771.666666666668,0.0
12,13.01.2019,32511.666666666668,0.0
18,13.01.2019,30322.0,0.0
0,14.01.2019,27269.666666666668,0.0
6,14.01.2019,33861.833333333336,0.0
12,14.01.2019,34330.0,0.0
18,14.01.2019,30741.833333333332,0.0
0,15.01.2019,27460.666666666668,0.0
6,15.01.2019,33614.833333333336,0.0
12,15.01.2019,33903.333333333336,0.0
18,15.01.2019,30631.333333333332,0.0
0,16.01.2019,27359.333333333332,0.0
6,16.01.2019,33914.666666666664,0.0
12,16.01.2019,34306.166666666664,0.0
18,16.01.2019,30992.333333333332,0.0
0,17.01.2019,27586.666666666668,0.0
6,17.01.2019,34027.5,0.0
12,17.01.2019,34659.666666666664,0.0
18,17.01.2019,31171.0,0.0
0,18.01.2019,27565.833333333332,0.0
6,18.01.2019,33456.333333333336,0.0
12,18.01.2019,33799.5,0.0
18,18.01.2019,30876.833333333332,0.0
0,19.01.2019,26857.333333333332,0.0
6,19.01.2019,30929.833333333332,0.0
12,19.01.2019,32279.666666666668,0.0
18,19.01.2019,30519.333333333332,0.0
0,20.01.2019,26865.166666666668,0.0
6,20.01.2019,30691.5,0.0
12,20.01.2019,32550.833333333332,0.0
18,20.01.2019,30511.5,0.0
0,21.01.2019,27689.0,0.0
6,21.01.2019,34496.833333333336,0.0
12,21.01.2019,34984.5,0.0
18,21.01.2019,31753.333333333332,0.0
0,22.01.2019,28812.333333333332,0.0
6,22.01.2019,35368.166666666664,0.0
12,22.01.2019,35615.166666666664,0.0
18,22.01.2019,32761.833333333332,0.0
0,23.01.2019,29631.666666666668,0.0
6,23.01.2019,36387.333333333336,0.0
12,23.01.2019,36198.833333333336,0.0
18,23.01.2019,33114.666666666664,0.0
0,24.01.2019,29646.833333333332,0.0
6,24.01.2019,36189.0,0.0
12,24.01.2019,36023.5,0.0
18,24.01.2019,32878.333333333336,0.0
0,25.01.2019,29807.5,0.0
6,25.01.2019,36305.166666666664,0.0
12,25.01.2019,35884.833333333336,0.0
18,25.01.2019,33009.166666666664,0.0
0,26.01.2019,28897.166666666668,0.0
6,26.01.2019,33355.5,0.0
12,26.01.2019,34497.666666666664,0.0
18,26.01.2019,31993.166666666668,0.0
0,27.01.2019,28138.833333333332,0.0
6,27.01.2019,31785.666666666668,0.0
12,27.01.2019,33324.666666666664,0.0
18,27.01.2019,31377.166666666668,0.0
0,28.01.2019,28502.166666666668,0.0
6,28.01.2019,35375.0,0.0
12,28.01.2019,35460.0,0.0
18,28.01.2019,31923.5,0.0
0,29.01.2019,28591.0,0.0
