,date,hour,price_zone_id,dict_version_number,calculation_id,Pmax_opt
0,27.11.2019 0:00:00,0,1,2851,1,"71208,532"
1,27.11.2019 0:00:00,1,1,2851,1,"71213,532"
2,27.11.2019 0:00:00,2,1,2851,1,"71228,532"
3,27.11.2019 0:00:00,3,1,2851,1,"71248,532"
4,27.11.2019 0:00:00,4,1,2851,1,"71245,532"
5,27.11.2019 0:00:00,5,1,2851,1,"71233,532"
6,27.11.2019 0:00:00,6,1,2851,1,"71215,932"
7,27.11.2019 0:00:00,7,1,2851,1,"71203,432"
8,27.11.2019 0:00:00,8,1,2851,1,"71249,532"
9,27.11.2019 0:00:00,9,1,2851,1,"71270,532"
10,27.11.2019 0:00:00,10,1,2851,1,"71281,532"
11,27.11.2019 0:00:00,11,1,2851,1,"71404,332"
12,27.11.2019 0:00:00,12,1,2851,1,"71264,332"
13,27.11.2019 0:00:00,13,1,2851,1,"71012,932"
14,27.11.2019 0:00:00,14,1,2851,1,"70988,732"
15,27.11.2019 0:00:00,15,1,2851,1,"70863,432"
16,27.11.2019 0:00:00,16,1,2851,1,"70866,432"
17,27.11.2019 0:00:00,17,1,2851,1,"70731,432"
18,27.11.2019 0:00:00,18,1,2851,1,"70735,332"
19,27.11.2019 0:00:00,19,1,2851,1,"70762,332"
20,27.11.2019 0:00:00,20,1,2851,1,"70771,432"
21,27.11.2019 0:00:00,21,1,2851,1,"70771,632"
22,27.11.2019 0:00:00,22,1,2851,1,"70674,632"
23,27.11.2019 0:00:00,23,1,2851,1,"70674,632"
24,28.11.2019 0:00:00,0,1,2852,1,"71112,644"
25,28.11.2019 0:00:00,1,1,2852,1,"71111,644"
26,28.11.2019 0:00:00,2,1,2852,1,"71111,844"
27,28.11.2019 0:00:00,3,1,2852,1,"71111,844"
28,28.11.2019 0:00:00,4,1,2852,1,"71107,844"
29,28.11.2019 0:00:00,5,1,2852,1,"71106,844"
30,28.11.2019 0:00:00,6,1,2852,1,"71030,244"
31,28.11.2019 0:00:00,7,1,2852,1,"71128,744"
32,28.11.2019 0:00:00,8,1,2852,1,"71019,044"
33,28.11.2019 0:00:00,9,1,2852,1,"71072,044"
34,28.11.2019 0:00:00,10,1,2852,1,"71281,544"
35,28.11.2019 0:00:00,11,1,2852,1,"71211,544"
36,28.11.2019 0:00:00,12,1,2852,1,"71112,544"
37,28.11.2019 0:00:00,13,1,2852,1,"71258,544"
38,28.11.2019 0:00:00,14,1,2852,1,"71521,544"
39,28.11.2019 0:00:00,15,1,2852,1,"71290,844"
40,28.11.2019 0:00:00,16,1,2852,1,"71296,844"
41,28.11.2019 0:00:00,17,1,2852,1,"71446,844"
42,28.11.2019 0:00:00,18,1,2852,1,"71372,944"
43,28.11.2019 0:00:00,19,1,2852,1,"71274,944"
44,28.11.2019 0:00:00,20,1,2852,1,"71468,844"
45,28.11.2019 0:00:00,21,1,2852,1,"71468,844"
