hour,date,fact_value,predict_value
5,14.05.2011,22787.208333333332,0.0
5,15.05.2011,23107.375,0.0
5,16.05.2011,23421.208333333332,0.0
5,17.05.2011,22043.5,0.0
5,18.05.2011,23953.75,0.0
5,19.05.2011,24546.416666666668,0.0
5,20.05.2011,22130.75,0.0
5,21.05.2011,21346.625,0.0
5,22.05.2011,23021.875,0.0
5,23.05.2011,21751.5,0.0
5,24.05.2011,21258.416666666668,0.0
5,25.05.2011,21664.625,0.0
5,26.05.2011,22953.5,0.0
5,27.05.2011,23846.291666666668,0.0
5,28.05.2011,23005.958333333332,0.0
5,29.05.2011,20850.166666666668,0.0
5,30.05.2011,22141.5,0.0
5,31.05.2011,21885.5,0.0
5,01.06.2011,20584.666666666668,0.0
5,02.06.2011,20990.666666666668,0.0
5,03.06.2011,20318.875,0.0
5,04.06.2011,18594.833333333332,0.0
5,05.06.2011,19409.375,0.0
5,06.06.2011,19690.5,0.0
5,07.06.2011,22519.625,0.0
5,08.06.2011,19500.75,0.0
5,09.06.2011,19819.791666666668,0.0
5,10.06.2011,20482.208333333332,0.0
5,11.06.2011,19833.791666666668,0.0
5,12.06.2011,20481.041666666668,0.0
5,13.06.2011,20287.083333333332,0.0
5,14.06.2011,21352.833333333332,0.0
5,15.06.2011,21537.791666666668,0.0
5,16.06.2011,21132.791666666668,0.0
5,17.06.2011,18938.875,0.0
5,18.06.2011,18927.75,0.0
5,19.06.2011,17896.125,0.0
5,20.06.2011,18953.333333333332,0.0
5,21.06.2011,19134.75,0.0
5,22.06.2011,19192.791666666668,0.0
5,23.06.2011,19824.916666666668,0.0
5,24.06.2011,18836.958333333332,0.0
5,25.06.2011,17957.125,0.0
5,26.06.2011,17438.875,0.0
5,27.06.2011,18155.75,0.0
5,28.06.2011,19264.666666666668,0.0
5,29.06.2011,17971.625,0.0
5,30.06.2011,19296.208333333332,0.0
5,01.07.2011,18713.375,0.0
5,02.07.2011,18562.583333333332,0.0
5,03.07.2011,19138.416666666668,0.0
5,04.07.2011,18565.666666666668,0.0
5,05.07.2011,19524.416666666668,0.0
5,06.07.2011,18875.833333333332,0.0
5,07.07.2011,19410.416666666668,0.0
5,08.07.2011,19078.666666666668,0.0
5,09.07.2011,18484.208333333332,0.0
5,10.07.2011,19435.041666666668,0.0
5,11.07.2011,20235.5,0.0
5,12.07.2011,18320.375,0.0
5,13.07.2011,16740.083333333332,0.0
5,14.07.2011,17896.875,0.0
5,15.07.2011,20455.416666666668,0.0
5,16.07.2011,21146.458333333332,0.0
5,17.07.2011,19445.375,0.0
5,18.07.2011,20192.041666666668,0.0
