,date,hour,price_zone_id,dict_version_number,calculation_id,Pmax_opt
93,03.08.2015 0:00:00,21,1,1576,1,"31593,675"
94,03.08.2015 0:00:00,22,1,1576,1,"31574,875"
95,03.08.2015 0:00:00,23,1,1576,1,"31473,775"
96,04.08.2015 0:00:00,0,1,1576,1,"30444,425"
97,04.08.2015 0:00:00,1,1,1576,1,"30179,425"
98,04.08.2015 0:00:00,2,1,1576,1,"30719,425"
99,04.08.2015 0:00:00,3,1,1576,1,"30731,425"
100,04.08.2015 0:00:00,4,1,1576,1,"30776,625"
101,04.08.2015 0:00:00,5,1,1576,1,"30929,625"
102,04.08.2015 0:00:00,6,1,1576,1,"31070,425"
103,04.08.2015 0:00:00,7,1,1576,1,"31291,425"
104,04.08.2015 0:00:00,8,1,1576,1,"31595,875"
105,04.08.2015 0:00:00,9,1,1576,1,"31564,875"
106,04.08.2015 0:00:00,10,1,1576,1,"32013,875"
107,04.08.2015 0:00:00,11,1,1576,1,"32123,875"
108,04.08.2015 0:00:00,12,1,1576,1,"32314,875"
109,04.08.2015 0:00:00,13,1,1576,1,"32358,875"
110,04.08.2015 0:00:00,14,1,1576,1,"32428,875"
111,04.08.2015 0:00:00,15,1,1576,1,"32428,875"
112,04.08.2015 0:00:00,16,1,1576,1,"31037,975"
113,04.08.2015 0:00:00,17,1,1576,1,"31045,975"
114,04.08.2015 0:00:00,18,1,1576,1,"31067,975"
115,04.08.2015 0:00:00,19,1,1576,1,"31105,975"
116,04.08.2015 0:00:00,20,1,1576,1,"31127,975"
117,04.08.2015 0:00:00,21,1,1576,1,"30986,975"
118,04.08.2015 0:00:00,22,1,1576,1,"31019,175"
119,04.08.2015 0:00:00,23,1,1576,1,"31037,175"
120,05.08.2015 0:00:00,0,1,1576,1,"29615,225"
121,05.08.2015 0:00:00,1,1,1576,1,"29611,225"
122,05.08.2015 0:00:00,2,1,1576,1,"29612,225"
123,05.08.2015 0:00:00,3,1,1576,1,"29611,225"
124,05.08.2015 0:00:00,4,1,1576,1,"29611,225"
125,05.08.2015 0:00:00,5,1,1576,1,"29606,225"
126,05.08.2015 0:00:00,6,1,1576,1,"29650,225"
127,05.08.2015 0:00:00,7,1,1576,1,"29674,225"
128,05.08.2015 0:00:00,8,1,1576,1,"29687,675"
129,05.08.2015 0:00:00,9,1,1576,1,"29818,775"
130,05.08.2015 0:00:00,10,1,1576,1,"29787,775"
131,05.08.2015 0:00:00,11,1,1576,1,"29778,775"
132,05.08.2015 0:00:00,12,1,1576,1,"29763,775"
133,05.08.2015 0:00:00,13,1,1576,1,"29759,775"
134,05.08.2015 0:00:00,14,1,1576,1,"29608,775"
135,05.08.2015 0:00:00,15,1,1576,1,"29448,775"
136,05.08.2015 0:00:00,16,1,1576,1,"29448,775"
137,05.08.2015 0:00:00,17,1,1576,1,"29458,775"
138,05.08.2015 0:00:00,18,1,1576,1,"29473,775"
139,05.08.2015 0:00:00,19,1,1576,1,"29479,775"
140,05.08.2015 0:00:00,20,1,1576,1,"29507,775"
141,05.08.2015 0:00:00,21,1,1576,1,"29396,775"
142,05.08.2015 0:00:00,22,1,1576,1,"29414,775"
143,05.08.2015 0:00:00,23,1,1576,1,"29437,775"
144,06.08.2015 0:00:00,0,1,1576,1,"30276,775"
145,06.08.2015 0:00:00,1,1,1576,1,"30272,775"
146,06.08.2015 0:00:00,2,1,1576,1,"30274,775"
147,06.08.2015 0:00:00,3,1,1576,1,"30234,775"
148,06.08.2015 0:00:00,4,1,1576,1,"30234,775"
149,06.08.2015 0:00:00,5,1,1576,1,"30008,775"
150,06.08.2015 0:00:00,6,1,1576,1,"30053,775"
151,06.08.2015 0:00:00,7,1,1576,1,"30497,775"
152,06.08.2015 0:00:00,8,1,1576,1,"30705,875"
153,06.08.2015 0:00:00,9,1,1576,1,"30775,875"
154,06.08.2015 0:00:00,10,1,1576,1,"30746,875"
155,06.08.2015 0:00:00,11,1,1576,1,"30756,875"
156,06.08.2015 0:00:00,12,1,1576,1,"30742,875"
157,06.08.2015 0:00:00,13,1,1576,1,"30740,875"
158,06.08.2015 0:00:00,14,1,1576,1,"30741,475"
159,06.08.2015 0:00:00,15,1,1576,1,"30436,898"
160,06.08.2015 0:00:00,16,1,1576,1,"30436,898"
161,06.08.2015 0:00:00,17,1,1576,1,"30444,898"
162,06.08.2015 0:00:00,18,1,1576,1,"30458,898"
163,06.08.2015 0:00:00,19,1,1576,1,"30478,898"
164,06.08.2015 0:00:00,20,1,1576,1,"30499,898"
165,06.08.2015 0:00:00,21,1,1576,1,"30212,898"
166,06.08.2015 0:00:00,22,1,1576,1,"30138,898"
167,06.08.2015 0:00:00,23,1,1576,1,"30161,898"
168,07.08.2015 0:00:00,0,1,1576,1,"30303,698"
169,07.08.2015 0:00:00,1,1,1576,1,"30350,698"
170,07.08.2015 0:00:00,2,1,1576,1,"29831,298"
171,07.08.2015 0:00:00,3,1,1576,1,"29934,298"
172,07.08.2015 0:00:00,4,1,1576,1,"30068,298"
173,07.08.2015 0:00:00,5,1,1576,1,"30255,298"
174,07.08.2015 0:00:00,6,1,1576,1,"30359,298"
175,07.08.2015 0:00:00,7,1,1576,1,"30403,298"
176,07.08.2015 0:00:00,8,1,1576,1,"30583,098"
177,07.08.2015 0:00:00,9,1,1576,1,"31021,098"
178,07.08.2015 0:00:00,10,1,1576,1,"30982,598"
179,07.08.2015 0:00:00,11,1,1576,1,"30968,598"
180,07.08.2015 0:00:00,12,1,1576,1,"30953,598"
181,07.08.2015 0:00:00,13,1,1576,1,"30947,598"
182,07.08.2015 0:00:00,14,1,1576,1,"30139,598"
183,07.08.2015 0:00:00,15,1,1576,1,"29918,398"
184,07.08.2015 0:00:00,16,1,1576,1,"29860,398"
185,07.08.2015 0:00:00,17,1,1576,1,"29668,398"
186,07.08.2015 0:00:00,18,1,1576,1,"29683,398"
187,07.08.2015 0:00:00,19,1,1576,1,"29710,398"
188,07.08.2015 0:00:00,20,1,1576,1,"29336,198"
189,07.08.2015 0:00:00,21,1,1576,1,"29138,198"
190,07.08.2015 0:00:00,22,1,1576,1,"25875,598"
191,07.08.2015 0:00:00,23,1,1576,1,"24483,598"
192,08.08.2015 0:00:00,0,1,1576,1,"27078,598"
193,08.08.2015 0:00:00,1,1,1576,1,"27083,598"
194,08.08.2015 0:00:00,2,1,1576,1,"26983,598"
195,08.08.2015 0:00:00,3,1,1576,1,"26882,598"
196,08.08.2015 0:00:00,4,1,1576,1,"26865,598"
197,08.08.2015 0:00:00,5,1,1576,1,"25945,198"
198,08.08.2015 0:00:00,6,1,1576,1,"25890,998"
199,08.08.2015 0:00:00,7,1,1576,1,"25860,998"
200,08.08.2015 0:00:00,8,1,1576,1,"25906,098"
201,08.08.2015 0:00:00,9,1,1576,1,"25829,098"
202,08.08.2015 0:00:00,10,1,1576,1,"25818,098"
203,08.08.2015 0:00:00,11,1,1576,1,"25891,098"
204,08.08.2015 0:00:00,12,1,1576,1,"25876,098"
205,08.08.2015 0:00:00,13,1,1576,1,"25872,098"
206,08.08.2015 0:00:00,14,1,1576,1,"25458,098"
207,08.08.2015 0:00:00,15,1,1576,1,"25463,098"
208,08.08.2015 0:00:00,16,1,1576,1,"25473,098"
209,08.08.2015 0:00:00,17,1,1576,1,"25807,098"
210,08.08.2015 0:00:00,18,1,1576,1,"25910,175"
211,08.08.2015 0:00:00,19,1,1576,1,"25947,175"
212,08.08.2015 0:00:00,20,1,1576,1,"25942,175"
213,08.08.2015 0:00:00,21,1,1576,1,"25838,175"
214,08.08.2015 0:00:00,22,1,1576,1,"25769,375"
215,08.08.2015 0:00:00,23,1,1576,1,"25922,375"
216,09.08.2015 0:00:00,0,1,1576,1,"26999,875"
217,09.08.2015 0:00:00,1,1,1576,1,"26954,875"
218,09.08.2015 0:00:00,2,1,1576,1,"27064,875"
219,09.08.2015 0:00:00,3,1,1576,1,"27054,875"
220,09.08.2015 0:00:00,4,1,1576,1,"27077,875"
221,09.08.2015 0:00:00,5,1,1576,1,"27251,875"
222,09.08.2015 0:00:00,6,1,1576,1,"27243,475"
223,09.08.2015 0:00:00,7,1,1576,1,"27202,475"
224,09.08.2015 0:00:00,8,1,1576,1,"27307,575"
225,09.08.2015 0:00:00,9,1,1576,1,"27275,575"
226,09.08.2015 0:00:00,10,1,1576,1,"27292,575"
227,09.08.2015 0:00:00,11,1,1576,1,"27368,575"
228,09.08.2015 0:00:00,12,1,1576,1,"27400,575"
229,09.08.2015 0:00:00,13,1,1576,1,"27426,575"
230,09.08.2015 0:00:00,14,1,1576,1,"27457,575"
231,09.08.2015 0:00:00,15,1,1576,1,"27492,575"
232,09.08.2015 0:00:00,16,1,1576,1,"27492,575"
233,09.08.2015 0:00:00,17,1,1576,1,"27493,575"
234,09.08.2015 0:00:00,18,1,1576,1,"27540,975"
235,09.08.2015 0:00:00,19,1,1576,1,"27584,975"
236,09.08.2015 0:00:00,20,1,1576,1,"27585,975"
237,09.08.2015 0:00:00,21,1,1576,1,"27519,975"
238,09.08.2015 0:00:00,22,1,1576,1,"27576,975"
239,09.08.2015 0:00:00,23,1,1576,1,"27672,775"
240,10.08.2015 0:00:00,0,1,1576,1,"27567,575"
241,10.08.2015 0:00:00,1,1,1576,1,"27854,575"
242,10.08.2015 0:00:00,2,1,1576,1,"28949,575"
243,10.08.2015 0:00:00,3,1,1576,1,"29393,575"
244,10.08.2015 0:00:00,4,1,1576,1,"29967,575"
245,10.08.2015 0:00:00,5,1,1576,1,"30465,875"
246,10.08.2015 0:00:00,6,1,1576,1,"31190,144"
247,10.08.2015 0:00:00,7,1,1576,1,"31821,944"
248,10.08.2015 0:00:00,8,1,1576,1,"32247,044"
249,10.08.2015 0:00:00,9,1,1576,1,"33006,514"
250,10.08.2015 0:00:00,10,1,1576,1,"33170,184"
251,10.08.2015 0:00:00,11,1,1576,1,"33271,184"
252,10.08.2015 0:00:00,12,1,1576,1,"33454,684"
253,10.08.2015 0:00:00,13,1,1576,1,"33400,684"
254,10.08.2015 0:00:00,14,1,1576,1,"33715,684"
255,10.08.2015 0:00:00,15,1,1576,1,"33726,684"
256,10.08.2015 0:00:00,16,1,1576,1,"33741,684"
257,10.08.2015 0:00:00,17,1,1576,1,"33647,684"
258,10.08.2015 0:00:00,18,1,1576,1,"33716,084"
259,10.08.2015 0:00:00,19,1,1576,1,"33749,084"
260,10.08.2015 0:00:00,20,1,1576,1,"33789,084"
261,10.08.2015 0:00:00,21,1,1576,1,"33616,007"
262,10.08.2015 0:00:00,22,1,1576,1,"33958,007"
263,10.08.2015 0:00:00,23,1,1576,1,"34053,007"
264,11.08.2015 0:00:00,0,1,1576,1,"35878,607"
265,11.08.2015 0:00:00,1,1,1576,1,"35908,807"
266,11.08.2015 0:00:00,2,1,1576,1,"35612,407"
267,11.08.2015 0:00:00,3,1,1576,1,"35625,407"
268,11.08.2015 0:00:00,4,1,1576,1,"34711,507"
269,11.08.2015 0:00:00,5,1,1576,1,"34816,507"
270,11.08.2015 0:00:00,6,1,1576,1,"34862,507"
271,11.08.2015 0:00:00,7,1,1576,1,"34871,507"
272,11.08.2015 0:00:00,8,1,1576,1,"34350,607"
273,11.08.2015 0:00:00,9,1,1576,1,"34773,807"
274,11.08.2015 0:00:00,10,1,1576,1,"34732,807"
275,11.08.2015 0:00:00,11,1,1576,1,"34761,807"
