,INTERVAL,M_DATE,PRICE_ZONE_ID,POWER_SYS_ID,E_USE_FACT
110,14,01.12.2018 0:00:00,1,530000,34016
111,15,01.12.2018 0:00:00,1,530000,35121
112,16,01.12.2018 0:00:00,1,530000,34760
113,17,01.12.2018 0:00:00,1,530000,34724
114,18,01.12.2018 0:00:00,1,530000,34053
115,19,01.12.2018 0:00:00,1,530000,33315
116,20,01.12.2018 0:00:00,1,530000,32533
117,21,01.12.2018 0:00:00,1,530000,31141
118,22,01.12.2018 0:00:00,1,530000,29644
119,23,01.12.2018 0:00:00,1,530000,28477
120,0,02.12.2018 0:00:00,1,530000,27908
121,1,02.12.2018 0:00:00,1,530000,27341
122,2,02.12.2018 0:00:00,1,530000,27140
123,3,02.12.2018 0:00:00,1,530000,27501
124,4,02.12.2018 0:00:00,1,530000,27711
125,5,02.12.2018 0:00:00,1,530000,28620
126,6,02.12.2018 0:00:00,1,530000,29666
127,7,02.12.2018 0:00:00,1,530000,30517
128,8,02.12.2018 0:00:00,1,530000,31956
129,9,02.12.2018 0:00:00,1,530000,32582
130,10,02.12.2018 0:00:00,1,530000,32533
131,11,02.12.2018 0:00:00,1,530000,32555
132,12,02.12.2018 0:00:00,1,530000,32643
133,13,02.12.2018 0:00:00,1,530000,32629
134,14,02.12.2018 0:00:00,1,530000,33167
135,15,02.12.2018 0:00:00,1,530000,34114
136,16,02.12.2018 0:00:00,1,530000,34366
137,17,02.12.2018 0:00:00,1,530000,34082
138,18,02.12.2018 0:00:00,1,530000,33647
139,19,02.12.2018 0:00:00,1,530000,33003
140,20,02.12.2018 0:00:00,1,530000,31962
141,21,02.12.2018 0:00:00,1,530000,30364
142,22,02.12.2018 0:00:00,1,530000,28622
143,23,02.12.2018 0:00:00,1,530000,27852
144,0,03.12.2018 0:00:00,1,530000,27219
145,1,03.12.2018 0:00:00,1,530000,26829
146,2,03.12.2018 0:00:00,1,530000,26808
147,3,03.12.2018 0:00:00,1,530000,27201
148,4,03.12.2018 0:00:00,1,530000,28630
149,5,03.12.2018 0:00:00,1,530000,31161
150,6,03.12.2018 0:00:00,1,530000,33250
151,7,03.12.2018 0:00:00,1,530000,34665
152,8,03.12.2018 0:00:00,1,530000,35612
153,9,03.12.2018 0:00:00,1,530000,35661
154,10,03.12.2018 0:00:00,1,530000,35233
155,11,03.12.2018 0:00:00,1,530000,35108
156,12,03.12.2018 0:00:00,1,530000,35235
157,13,03.12.2018 0:00:00,1,530000,35249
158,14,03.12.2018 0:00:00,1,530000,35688
159,15,03.12.2018 0:00:00,1,530000,36039
160,16,03.12.2018 0:00:00,1,530000,35790
161,17,03.12.2018 0:00:00,1,530000,35608
162,18,03.12.2018 0:00:00,1,530000,35110
163,19,03.12.2018 0:00:00,1,530000,34281
164,20,03.12.2018 0:00:00,1,530000,33190
165,21,03.12.2018 0:00:00,1,530000,31289
166,22,03.12.2018 0:00:00,1,530000,29569
167,23,03.12.2018 0:00:00,1,530000,28362
168,0,04.12.2018 0:00:00,1,530000,27728
169,1,04.12.2018 0:00:00,1,530000,27229
170,2,04.12.2018 0:00:00,1,530000,27344
171,3,04.12.2018 0:00:00,1,530000,27775
172,4,04.12.2018 0:00:00,1,530000,28930
173,5,04.12.2018 0:00:00,1,530000,31497
174,6,04.12.2018 0:00:00,1,530000,33677
175,7,04.12.2018 0:00:00,1,530000,35009
176,8,04.12.2018 0:00:00,1,530000,35773
177,9,04.12.2018 0:00:00,1,530000,35743
178,10,04.12.2018 0:00:00,1,530000,35172
179,11,04.12.2018 0:00:00,1,530000,35143
180,12,04.12.2018 0:00:00,1,530000,35294
181,13,04.12.2018 0:00:00,1,530000,35268
182,14,04.12.2018 0:00:00,1,530000,35726
183,15,04.12.2018 0:00:00,1,530000,35830
184,16,04.12.2018 0:00:00,1,530000,35747
185,17,04.12.2018 0:00:00,1,530000,35524
186,18,04.12.2018 0:00:00,1,530000,34690
187,19,04.12.2018 0:00:00,1,530000,34103
188,20,04.12.2018 0:00:00,1,530000,32454
189,21,04.12.2018 0:00:00,1,530000,30872
190,22,04.12.2018 0:00:00,1,530000,29204
191,23,04.12.2018 0:00:00,1,530000,28107
192,0,05.12.2018 0:00:00,1,530000,27432
193,1,05.12.2018 0:00:00,1,530000,26893
194,2,05.12.2018 0:00:00,1,530000,26742
195,3,05.12.2018 0:00:00,1,530000,27159
196,4,05.12.2018 0:00:00,1,530000,28477
197,5,05.12.2018 0:00:00,1,530000,31054
198,6,05.12.2018 0:00:00,1,530000,33156
199,7,05.12.2018 0:00:00,1,530000,34412
200,8,05.12.2018 0:00:00,1,530000,35188
201,9,05.12.2018 0:00:00,1,530000,34959
202,10,05.12.2018 0:00:00,1,530000,34723
203,11,05.12.2018 0:00:00,1,530000,34623
204,12,05.12.2018 0:00:00,1,530000,34624
205,13,05.12.2018 0:00:00,1,530000,34807
206,14,05.12.2018 0:00:00,1,530000,35145
207,15,05.12.2018 0:00:00,1,530000,35623
208,16,05.12.2018 0:00:00,1,530000,35528
209,17,05.12.2018 0:00:00,1,530000,34996
210,18,05.12.2018 0:00:00,1,530000,34509
211,19,05.12.2018 0:00:00,1,530000,33793
212,20,05.12.2018 0:00:00,1,530000,32424
213,21,05.12.2018 0:00:00,1,530000,30535
214,22,05.12.2018 0:00:00,1,530000,29049
215,23,05.12.2018 0:00:00,1,530000,27932
216,0,06.12.2018 0:00:00,1,530000,27452
217,1,06.12.2018 0:00:00,1,530000,27065
218,2,06.12.2018 0:00:00,1,530000,27135
219,3,06.12.2018 0:00:00,1,530000,27243
220,4,06.12.2018 0:00:00,1,530000,28724
221,5,06.12.2018 0:00:00,1,530000,30976
222,6,06.12.2018 0:00:00,1,530000,32948
223,7,06.12.2018 0:00:00,1,530000,34211
224,8,06.12.2018 0:00:00,1,530000,34827
225,9,06.12.2018 0:00:00,1,530000,34760
226,10,06.12.2018 0:00:00,1,530000,34243
227,11,06.12.2018 0:00:00,1,530000,34204
228,12,06.12.2018 0:00:00,1,530000,34319
229,13,06.12.2018 0:00:00,1,530000,34268
230,14,06.12.2018 0:00:00,1,530000,34820
231,15,06.12.2018 0:00:00,1,530000,35096
232,16,06.12.2018 0:00:00,1,530000,35229
233,17,06.12.2018 0:00:00,1,530000,34903
234,18,06.12.2018 0:00:00,1,530000,34051
235,19,06.12.2018 0:00:00,1,530000,33542
236,20,06.12.2018 0:00:00,1,530000,32338
237,21,06.12.2018 0:00:00,1,530000,30643
238,22,06.12.2018 0:00:00,1,530000,28990
239,23,06.12.2018 0:00:00,1,530000,27829
240,0,07.12.2018 0:00:00,1,530000,27019
241,1,07.12.2018 0:00:00,1,530000,26892
242,2,07.12.2018 0:00:00,1,530000,26948
243,3,07.12.2018 0:00:00,1,530000,27043
244,4,07.12.2018 0:00:00,1,530000,28493
245,5,07.12.2018 0:00:00,1,530000,30738
246,6,07.12.2018 0:00:00,1,530000,32851
247,7,07.12.2018 0:00:00,1,530000,34009
248,8,07.12.2018 0:00:00,1,530000,35085
249,9,07.12.2018 0:00:00,1,530000,34790
250,10,07.12.2018 0:00:00,1,530000,34431
251,11,07.12.2018 0:00:00,1,530000,34581
252,12,07.12.2018 0:00:00,1,530000,34603
253,13,07.12.2018 0:00:00,1,530000,34445
254,14,07.12.2018 0:00:00,1,530000,34819
255,15,07.12.2018 0:00:00,1,530000,35105
256,16,07.12.2018 0:00:00,1,530000,35270
257,17,07.12.2018 0:00:00,1,530000,34680
258,18,07.12.2018 0:00:00,1,530000,34018
259,19,07.12.2018 0:00:00,1,530000,33460
260,20,07.12.2018 0:00:00,1,530000,32467
261,21,07.12.2018 0:00:00,1,530000,30825
262,22,07.12.2018 0:00:00,1,530000,29277
263,23,07.12.2018 0:00:00,1,530000,28058
264,0,08.12.2018 0:00:00,1,530000,27167
265,1,08.12.2018 0:00:00,1,530000,26757
266,2,08.12.2018 0:00:00,1,530000,26608
267,3,08.12.2018 0:00:00,1,530000,26937
268,4,08.12.2018 0:00:00,1,530000,27504
269,5,08.12.2018 0:00:00,1,530000,28361
270,6,08.12.2018 0:00:00,1,530000,29785
271,7,08.12.2018 0:00:00,1,530000,30959
272,8,08.12.2018 0:00:00,1,530000,32223
273,9,08.12.2018 0:00:00,1,530000,32633
274,10,08.12.2018 0:00:00,1,530000,32573
275,11,08.12.2018 0:00:00,1,530000,32440
276,12,08.12.2018 0:00:00,1,530000,32471
277,13,08.12.2018 0:00:00,1,530000,32487
278,14,08.12.2018 0:00:00,1,530000,33126
279,15,08.12.2018 0:00:00,1,530000,33997
280,16,08.12.2018 0:00:00,1,530000,33960
281,17,08.12.2018 0:00:00,1,530000,33475
282,18,08.12.2018 0:00:00,1,530000,32955
283,19,08.12.2018 0:00:00,1,530000,32495
284,20,08.12.2018 0:00:00,1,530000,31507
285,21,08.12.2018 0:00:00,1,530000,30281
286,22,08.12.2018 0:00:00,1,530000,29046
287,23,08.12.2018 0:00:00,1,530000,27954
288,0,09.12.2018 0:00:00,1,530000,27180
289,1,09.12.2018 0:00:00,1,530000,26782
290,2,09.12.2018 0:00:00,1,530000,26644
291,3,09.12.2018 0:00:00,1,530000,26749
292,4,09.12.2018 0:00:00,1,530000,27149
293,5,09.12.2018 0:00:00,1,530000,27927
294,6,09.12.2018 0:00:00,1,530000,28809
295,7,09.12.2018 0:00:00,1,530000,29914
296,8,09.12.2018 0:00:00,1,530000,31328
297,9,09.12.2018 0:00:00,1,530000,31814
298,10,09.12.2018 0:00:00,1,530000,31912
299,11,09.12.2018 0:00:00,1,530000,31831
300,12,09.12.2018 0:00:00,1,530000,31863
301,13,09.12.2018 0:00:00,1,530000,31957
302,14,09.12.2018 0:00:00,1,530000,32718
303,15,09.12.2018 0:00:00,1,530000,33874
