,INTERVAL,M_DATE,PRICE_ZONE_ID,POWER_SYS_ID,E_USE_FACT
0,0,01.11.2010 0:00:00,1,530000,22233.0
1,1,01.11.2010 0:00:00,1,530000,21638.0
2,2,01.11.2010 0:00:00,1,530000,21586.0
3,3,01.11.2010 0:00:00,1,530000,21416.0
4,4,01.11.2010 0:00:00,1,530000,21806.0
5,5,01.11.2010 0:00:00,1,530000,23179.0
6,6,01.11.2010 0:00:00,1,530000,25707.0
7,7,01.11.2010 0:00:00,1,530000,27199.0
8,8,01.11.2010 0:00:00,1,530000,28985.0
9,9,01.11.2010 0:00:00,1,530000,29887.0
10,10,01.11.2010 0:00:00,1,530000,29584.0
11,11,01.11.2010 0:00:00,1,530000,29123.0
12,12,01.11.2010 0:00:00,1,530000,29149.0
13,13,01.11.2010 0:00:00,1,530000,29013.0
14,14,01.11.2010 0:00:00,1,530000,28958.0
15,15,01.11.2010 0:00:00,1,530000,28957.0
16,16,01.11.2010 0:00:00,1,530000,29578.0
17,17,01.11.2010 0:00:00,1,530000,31072.0
18,18,01.11.2010 0:00:00,1,530000,30948.0
19,19,01.11.2010 0:00:00,1,530000,30154.0
20,20,01.11.2010 0:00:00,1,530000,29443.0
21,21,01.11.2010 0:00:00,1,530000,27768.0
22,22,01.11.2010 0:00:00,1,530000,25900.0
23,23,01.11.2010 0:00:00,1,530000,24074.0
24,0,02.11.2010 0:00:00,1,530000,22628.0
25,1,02.11.2010 0:00:00,1,530000,21998.0
26,2,02.11.2010 0:00:00,1,530000,21749.0
27,3,02.11.2010 0:00:00,1,530000,21733.0
28,4,02.11.2010 0:00:00,1,530000,22018.0
29,5,02.11.2010 0:00:00,1,530000,23360.0
30,6,02.11.2010 0:00:00,1,530000,25768.0
31,7,02.11.2010 0:00:00,1,530000,27129.0
32,8,02.11.2010 0:00:00,1,530000,28961.0
33,9,02.11.2010 0:00:00,1,530000,29669.0
34,10,02.11.2010 0:00:00,1,530000,29470.0
35,11,02.11.2010 0:00:00,1,530000,29032.0
36,12,02.11.2010 0:00:00,1,530000,28973.0
37,13,02.11.2010 0:00:00,1,530000,29054.0
38,14,02.11.2010 0:00:00,1,530000,28932.0
39,15,02.11.2010 0:00:00,1,530000,29299.0
40,16,02.11.2010 0:00:00,1,530000,30072.0
41,17,02.11.2010 0:00:00,1,530000,31183.0
42,18,02.11.2010 0:00:00,1,530000,30674.0
43,19,02.11.2010 0:00:00,1,530000,30202.0
44,20,02.11.2010 0:00:00,1,530000,29375.0
45,21,02.11.2010 0:00:00,1,530000,27671.0
46,22,02.11.2010 0:00:00,1,530000,25905.0
47,23,02.11.2010 0:00:00,1,530000,24220.0
48,0,03.11.2010 0:00:00,1,530000,22814.0
49,1,03.11.2010 0:00:00,1,530000,22031.0
50,2,03.11.2010 0:00:00,1,530000,21914.0
51,3,03.11.2010 0:00:00,1,530000,21760.0
52,4,03.11.2010 0:00:00,1,530000,22039.0
53,5,03.11.2010 0:00:00,1,530000,23232.0
54,6,03.11.2010 0:00:00,1,530000,25562.0
55,7,03.11.2010 0:00:00,1,530000,27085.0
56,8,03.11.2010 0:00:00,1,530000,28933.0
57,9,03.11.2010 0:00:00,1,530000,29734.0
58,10,03.11.2010 0:00:00,1,530000,29459.0
59,11,03.11.2010 0:00:00,1,530000,28964.0
60,12,03.11.2010 0:00:00,1,530000,28730.0
61,13,03.11.2010 0:00:00,1,530000,28567.0
62,14,03.11.2010 0:00:00,1,530000,28173.0
63,15,03.11.2010 0:00:00,1,530000,28151.0
64,16,03.11.2010 0:00:00,1,530000,29172.0
65,17,03.11.2010 0:00:00,1,530000,30419.0
66,18,03.11.2010 0:00:00,1,530000,30186.0
67,19,03.11.2010 0:00:00,1,530000,29372.0
68,20,03.11.2010 0:00:00,1,530000,28596.0
69,21,03.11.2010 0:00:00,1,530000,27230.0
70,22,03.11.2010 0:00:00,1,530000,25832.0
71,23,03.11.2010 0:00:00,1,530000,24090.0
72,0,04.11.2010 0:00:00,1,530000,22674.0
73,1,04.11.2010 0:00:00,1,530000,21652.0
74,2,04.11.2010 0:00:00,1,530000,21499.0
75,3,04.11.2010 0:00:00,1,530000,21235.0
76,4,04.11.2010 0:00:00,1,530000,21298.0
77,5,04.11.2010 0:00:00,1,530000,21745.0
78,6,04.11.2010 0:00:00,1,530000,22796.0
79,7,04.11.2010 0:00:00,1,530000,23125.0
80,8,04.11.2010 0:00:00,1,530000,24613.0
81,9,04.11.2010 0:00:00,1,530000,25520.0
82,10,04.11.2010 0:00:00,1,530000,25858.0
83,11,04.11.2010 0:00:00,1,530000,26057.0
84,12,04.11.2010 0:00:00,1,530000,26024.0
85,13,04.11.2010 0:00:00,1,530000,25917.0
86,14,04.11.2010 0:00:00,1,530000,26233.0
87,15,04.11.2010 0:00:00,1,530000,26559.0
88,16,04.11.2010 0:00:00,1,530000,27610.0
89,17,04.11.2010 0:00:00,1,530000,28778.0
90,18,04.11.2010 0:00:00,1,530000,28397.0
91,19,04.11.2010 0:00:00,1,530000,27901.0
92,20,04.11.2010 0:00:00,1,530000,27559.0
93,21,04.11.2010 0:00:00,1,530000,26441.0
94,22,04.11.2010 0:00:00,1,530000,25025.0
95,23,04.11.2010 0:00:00,1,530000,23671.0
96,0,05.11.2010 0:00:00,1,530000,22335.0
97,1,05.11.2010 0:00:00,1,530000,21568.0
98,2,05.11.2010 0:00:00,1,530000,21232.0
99,3,05.11.2010 0:00:00,1,530000,20864.0
100,4,05.11.2010 0:00:00,1,530000,21250.0
101,5,05.11.2010 0:00:00,1,530000,21656.0
102,6,05.11.2010 0:00:00,1,530000,22747.0
103,7,05.11.2010 0:00:00,1,530000,23169.0
104,8,05.11.2010 0:00:00,1,530000,24554.0
105,9,05.11.2010 0:00:00,1,530000,25584.0
106,10,05.11.2010 0:00:00,1,530000,26007.0
107,11,05.11.2010 0:00:00,1,530000,26063.0
108,12,05.11.2010 0:00:00,1,530000,25928.0
