INTERVAL;M_DATE;PRICE_ZONE_ID;POWER_SYS_ID;E_USE_FACT
23;01.12.2018 0:00:00;1;630000;30682
0;02.12.2018 0:00:00;1;630000;30455
1;02.12.2018 0:00:00;1;630000;30353
2;02.12.2018 0:00:00;1;630000;30479
3;02.12.2018 0:00:00;1;630000;30638
4;02.12.2018 0:00:00;1;630000;31171
5;02.12.2018 0:00:00;1;630000;32185
6;02.12.2018 0:00:00;1;630000;32707
7;02.12.2018 0:00:00;1;630000;32999
8;02.12.2018 0:00:00;1;630000;32943
9;02.12.2018 0:00:00;1;630000;32864
10;02.12.2018 0:00:00;1;630000;32846
11;02.12.2018 0:00:00;1;630000;32811
12;02.12.2018 0:00:00;1;630000;32983
13;02.12.2018 0:00:00;1;630000;33512
14;02.12.2018 0:00:00;1;630000;34151
15;02.12.2018 0:00:00;1;630000;33992
16;02.12.2018 0:00:00;1;630000;33776
17;02.12.2018 0:00:00;1;630000;33751
18;02.12.2018 0:00:00;1;630000;33174
19;02.12.2018 0:00:00;1;630000;32257
20;02.12.2018 0:00:00;1;630000;31280
21;02.12.2018 0:00:00;1;630000;31029
22;02.12.2018 0:00:00;1;630000;30630
23;02.12.2018 0:00:00;1;630000;30350
0;03.12.2018 0:00:00;1;630000;30560
1;03.12.2018 0:00:00;1;630000;30530
2;03.12.2018 0:00:00;1;630000;31095
3;03.12.2018 0:00:00;1;630000;32311
4;03.12.2018 0:00:00;1;630000;33579
5;03.12.2018 0:00:00;1;630000;34477
6;03.12.2018 0:00:00;1;630000;34591
7;03.12.2018 0:00:00;1;630000;34339
8;03.12.2018 0:00:00;1;630000;34278
9;03.12.2018 0:00:00;1;630000;34353
10;03.12.2018 0:00:00;1;630000;34231
11;03.12.2018 0:00:00;1;630000;33953
12;03.12.2018 0:00:00;1;630000;34123
13;03.12.2018 0:00:00;1;630000;34664
14;03.12.2018 0:00:00;1;630000;34646
15;03.12.2018 0:00:00;1;630000;34492
16;03.12.2018 0:00:00;1;630000;34240
17;03.12.2018 0:00:00;1;630000;34077
18;03.12.2018 0:00:00;1;630000;33409
19;03.12.2018 0:00:00;1;630000;32627
20;03.12.2018 0:00:00;1;630000;31645
21;03.12.2018 0:00:00;1;630000;31016
22;03.12.2018 0:00:00;1;630000;30585
23;03.12.2018 0:00:00;1;630000;30526
0;04.12.2018 0:00:00;1;630000;30458
1;04.12.2018 0:00:00;1;630000;30446
2;04.12.2018 0:00:00;1;630000;30895
3;04.12.2018 0:00:00;1;630000;32285
4;04.12.2018 0:00:00;1;630000;33115
5;04.12.2018 0:00:00;1;630000;33960
6;04.12.2018 0:00:00;1;630000;34317
7;04.12.2018 0:00:00;1;630000;34205
8;04.12.2018 0:00:00;1;630000;33864
9;04.12.2018 0:00:00;1;630000;33672
10;04.12.2018 0:00:00;1;630000;33619
11;04.12.2018 0:00:00;1;630000;33693
12;04.12.2018 0:00:00;1;630000;33747
13;04.12.2018 0:00:00;1;630000;34189
14;04.12.2018 0:00:00;1;630000;34473
15;04.12.2018 0:00:00;1;630000;34549
16;04.12.2018 0:00:00;1;630000;34040
17;04.12.2018 0:00:00;1;630000;33843
18;04.12.2018 0:00:00;1;630000;33343
19;04.12.2018 0:00:00;1;630000;32239
20;04.12.2018 0:00:00;1;630000;31154
21;04.12.2018 0:00:00;1;630000;30377
22;04.12.2018 0:00:00;1;630000;30351
